STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,001,000100,4644,+39.943585,-091.362273
17,001,000201,2067,+39.953942,-091.387764
17,001,000202,2870,+39.941336,-091.385826
17,001,000400,3793,+39.948935,-091.406851
17,001,000500,1719,+39.944326,-091.398339
17,001,000600,3590,+39.931661,-091.383321
17,001,000700,1243,+39.933323,-091.405205
17,001,000800,2455,+39.920521,-091.406960
17,001,000900,2572,+39.918660,-091.399586
17,001,001001,3245,+39.921492,-091.385775
17,001,001002,3109,+39.911392,-091.387554
17,001,001100,8015,+39.916877,-091.359969
17,001,010100,4403,+40.096076,-091.293528
17,001,010200,3634,+40.067117,-091.030180
17,001,010301,2800,+39.903906,-091.062678
17,001,010302,3062,+39.837318,-091.205754
17,001,010400,3605,+39.968930,-091.285611
17,001,010500,3069,+39.977674,-091.394092
17,001,010600,5842,+39.885973,-091.343382
17,003,957600,1820,+37.275588,-089.355653
17,003,957700,1491,+37.185095,-089.367281
17,003,957800,1030,+37.020483,-089.187382
17,003,957900,899,+37.003089,-089.175624
17,005,951200,2924,+38.938227,-089.351614
17,005,951300,6883,+38.887028,-089.405949
17,005,951400,2918,+38.936623,-089.539893
17,005,951500,4000,+38.803958,-089.457037
17,007,010101,4396,+42.267578,-088.844284
17,007,010102,3756,+42.264417,-088.856422
17,007,010200,5640,+42.251559,-088.832880
17,007,010300,6674,+42.243996,-088.849442
17,007,010400,6912,+42.239178,-088.829081
17,007,010501,4501,+42.305592,-088.911995
17,007,010502,5795,+42.294606,-088.861310
17,007,010601,3847,+42.409965,-088.789242
17,007,010603,6380,+42.351815,-088.873138
17,007,010604,5547,+42.352544,-088.868326
17,009,970400,2349,+39.949078,-090.726700
17,009,970500,3895,+39.976238,-090.760063
17,011,964700,2866,+41.517762,-089.318149
17,011,964800,3231,+41.520778,-089.651504
17,011,964900,2635,+41.405934,-089.456303
17,011,965000,3668,+41.352935,-089.308287
17,011,965100,4224,+41.352077,-089.199464
17,011,965200,3474,+41.325425,-089.205015
17,011,965300,3370,+41.377978,-089.465678
